Debate,ID,Speaker
Debate 3,1,Voorzitter
Debate 3,2,Bikker
Debate 3,3,Van Weel
Debate 3,4,Van Zanten
Debate 3,5,Ellian
Debate 3,6,Boon
Debate 3,7,Boswijk
Debate 3,8,Flach
Debate 3,9,Six Dijkstra
Debate 3,10,Jetten
Debate 3,11,Tseggai
Debate 3,12,Teunissen
Debate 3,13,Dijk
Debate 3,14,Koekkoek
Debate 3,15,El Abassi
Debate 3,16,Pijpelink
Debate 3,17,Paul
Debate 3,18,Rooderkerk
Debate 3,19,Soepboer
Debate 3,20,Uppelschoten
Debate 3,21,Kistemans
Debate 3,22,Beckerman
Debate 3,23,Van Houwelingen
Debate 3,24,Iedereen
