sender,last_speaker
1,0
1,1
1,1
2,1
1,2
3,1
2,3
1,2
3,1
2,3
1,2
4,1
2,4
1,2
4,1
2,4
1,2
5,1
1,5
4,1
5,4
1,5
4,1
5,4
1,5
6,1
5,6
1,5
3,1
1,3
3,1
5,3
1,5
3,1
5,3
1,5
7,1
1,7
7,1
5,7
1,5
7,1
5,7
1,5
7,1
1,7
5,1
1,5
6,1
1,6
6,1
1,6
3,1
1,3
5,1
1,5
8,1
1,8
7,1
8,7
7,8
8,7
1,8
5,1
8,5
4,8
8,4
1,8
4,1
8,4
1,8
6,1
8,6
1,8
4,1
1,4
4,1
1,4
4,1
1,4
9,1
1,9
7,1
9,7
1,9
7,1
9,7
1,9
3,1
9,3
1,9
3,1
9,3
4,9
9,4
1,9
9,1
1,9
9,1
1,9
7,1
1,7
7,1
1,7
2,1
7,2
1,7
1,1
10,1
1,10
2,1
10,2
1,10
10,1
1,10
5,1
1,5
10,1
1,10
10,1
1,10
3,1
10,3
3,10
10,3
1,10
10,1
1,10
8,1
10,8
1,10
10,1
4,10
10,4
1,10
10,1
1,10
10,1
1,10
1,1
1,1
1,x
1,11
11,1
1,12
12,11
11,12
12,12
11,12
1,13
13,1
1,14
14,1
12,14
14,12
12,14
14,14
15,14
14,15
15,14
1,14
14,14
15,1
1,1
15,1
1,1
15,14
14,15
16,14
14,14
1,16
16,14
1,14
14,1
1,17
17,1
1,15
15,1
13,15
15,15
13,15
1,1
15,1
12,"13, 15"
15,"13, 15"
16,15
15,15
1,15
14,15
15,15
14,15
15,14
11,15
15,15
1,11
15,11
11,15
15,15
11,15
15,15
11,15
15,11
11,15
15,15
17,15
15,15
1,15
17,15
15,15
1,15
15,1
1,12
12,1
13,12
12,13
13,12
12,13
14,12
12,14
14,12
12,14
1,12
12,1
1,17
17,12
12,15
17,12
12,17
17,17
12,17
17,12
12,17
17,12
12,17
11,12
1,12
12,12
1,12
12,12
1,16
1,12
16,1
14,16
1,16
14,16
16,14
1,14
14,16
16,16
13,16
16,16
13,16
16,16
11,16
16,16
1,11
11,11
16,11
15,11
16,11
1,16
16,16
1,16
