sender,recently_mentioned_participant
1,0
1,0
1,2
2,1
1,"2, 3"
3,2
2,2
1,3
3,2
2,2
1,4
4,2
2,2
1,2
4,2
2,2
1,5
5,1
1,"5, 4"
4,5
5,4
1,4
4,4
5,4
1,6
6,1
5,1
1,3
3,3
1,3
3,5
5,5
1,5
3,5
5,5
1,"7, 5"
7,1
1,6
7,5
5,5
1,5
7,5
5,7
1,7
7,5
1,5
5,5
1,"5, 6"
6,1
1,"6, 3"
6,1
1,"6, 3"
3,"1, 6"
1,"3, 5"
5,"1, 3"
1,8
8,1
1,"8, 7"
7,8
8,8
7,8
8,8
1,"5, 7"
5,8
8,8
4,8
8,8
1,8
4,8
8,8
1,6
6," 8, 5"
8," 8, 5"
1,4
4,1
1,4.
4,4.
1,4.
4,4.
1,4.
9,1
1,"3, 7"
7,9
9,7
1,7
7,9
9,7
1,3
3,9
9,3
1,3
3,7
9,3
4,9
9,9
1,9
9,1
1,1
9,1
1,"9, 7"
7,1
1,"7, 4"
7,
1,2
2,7
7,1
1,7
1,7
10,1
1,2
2,2
10,2
1,2
10,5
1,5
5,5
1,5
10,5
1,5
10,"6, 3"
1,3
3,3
10,3
3,3
10,3
1,3
10,8
1,8
8,8
10,"8, 4"
1,4
10,4
4,4
10,4
1,4
10,4
1,4
10,"7, 4"
1,"7, 4"
1,"7, 4"
1,"7, 4"
1,
1,1
11,1
1,11
12,1
11,12
12,11
11,12
1,11
13,1
1,13
14,1
12,14
14,12
12,14
14,12
15,14
14,15
15,14
1,15
14,1
15,14
1,15
15,1
1,15
15,1
14,15
16,14
14,16
1,14
16,1
1,16
14,1
1,14
17,1
1,17
15,1
13,15
15,13
13,15
1,13
15,1
12,15
15,12
16,15
15,16
1,15
14,1
15,14
14,15
15,14
11,15
15,11
1,15
15,1
11,15
15,11
11,15
15,11
11,15
15,11
11,15
15,11
17,15
15,17
1,15
17,1
15,17
1,15
15,1
1,15
12,1
13,12
12,13
13,12
12,13
14,12
12,14
14,12
12,14
1,12
12,1
1,12
17,1
12,17
17,12
12,17
17,12
12,17
17,12
12,17
17,12
12,17
11,12
1,11
12,1
1,12
12,1
1,12
1,1
16,1
14,16
1,14
14,1
16,14
1,16
14,1
16,14
13,16
16,13
13,16
16,13
11,16
16,11
1,16
11,1
16,11
15,16
16,15
1,16
16,1
1,16
