order,sender,message,receiver
1,1,Aan de orde is het vragenuurtje. Een hartelijk woord van welkom aan de minister van Economische Zaken. Hij heeft een vraag van de heer Thijssen van de fractie GroenLinks-Partij van de Arbeid. Ik geef graag het woord aan hem.,"2, 3, 15"
2,2,"Dank, voorzitter. De prijzen stijgen hard. De afgelopen jaren bleven de boodschappen maar duurder worden. Nederlanders werken hard, maar verdienen gewoon niet genoeg om die hoge prijzen bij te houden. Miljoenen Nederlanders hebben financiële zorgen. Dat horen we steeds weer. Nu lezen we hoe dit komt. Dit komt doordat de winsten van bedrijven veel harder zijn gestegen dan de prijzen in de supermarkten en ook veel harder dan de lonen die mensen worden betaald. Dat betekent dus dat de prijzen in de supermarkt niet zo hoog zijn omdat de boodschappen zo duur zijn, maar omdat de aandeelhouders nog wat extra winst willen maken en die prijzen onnodig hard laten stijgen. Mijn eerste vraag aan de minister is wat hij hiervan vindt.",3
3,1,Het woord is aan de minister.,3
4,3,"Dank, voorzitter. Dank ook aan de heer Thijssen voor de vraag. Het lid Thijssen weet dat ik onderstreep dat er winsten gemaakt moeten worden. De bedrijven hebben dat nodig. Dat de prijzen gestegen zijn is inderdaad ook een feit. Dat de loonontwikkeling wat langer nodig heeft om zich te manifesteren is ook helder. In dat licht is het misschien ook goed om aan de heer Thijssen aan te geven dat de loonontwikkeling nu wel echt aan het plaatsvinden is. Waar we in november een inflatie van 4% hebben gezien, is de loonontwikkeling in het kwartaal 6,6%. De loongolf heeft vanwege de cao-systematiek wat langer nodig om op gang te komen, maar die komt uiteindelijk wel.",2
5,2,"Dank aan de minister voor dit antwoord. Het is natuurlijk hartstikke fijn dat de bedrijven die we in Nederland hebben, er zijn. Die maken mooie producten. Die zorgen voor mooie banen. De aandeelhouders hebben natuurlijk ook gewoon redelijke winsten nodig, maar we zien nu dat die winsten niet meer redelijk zijn. We zien dat die winsten disproportioneel hard gestegen zijn, veel harder dan dat de lonen gestegen zijn. De minister kan zeggen: die lonen komen er wel achteraan. Misschien hebben we het daar later in dit vragenuurtje nog over, want die lonen zitten inderdaad deels vast in cao's, maar de prijzen hadden natuurlijk niet zo hard hoeven stijgen. De prijzen hadden gewoon wat lager kunnen blijven. Dan hadden mensen het niet zo moeilijk gehad om die dure boodschappen in de supermarkt te betalen, want die waren dan wat goedkoper geweest. Dan was er alleen wel wat minder winst gemaakt. Mijn vraag aan de minister is dus of hij het niet zorgelijk vindt dat die prijzen zo hard gestegen zijn om die historisch hoge winsten aan die aandeelhouders te kunnen uitkeren, terwijl de lonen niet zo hard stegen.",3
6,3,"Dank voor de vraag. Als ik me niet vergis, refereert de heer Thijssen aan een artikel uit ESB. Laten we kijken naar die periode. Het is natuurlijk wel belangrijk om goed te kijken over welke periode in de tijd we het hebben, ook vanwege het na-ijleffect. In de periode 2019-2023 zijn zowel de winsten als de lonen gestegen. De lonen zijn met 25% gestegen in die periode. De prijzen zijn met 30% gestegen in die periode. Er zit dus een verschil tussen. Het is geen enorm verschil en het zijn ook geen enorme winsten. Dat beeld van de heer Thijssen herken ik dus niet.",2
7,2,"Nou, dat is interessant, want toevallig zegt het artikel ook iets over die enorme winsten en hoeveel die dan zouden zijn. Mijn vraag aan de minister is dus als volgt. Dat ESB-artikel waar dit vragenuurtje inderdaad over gaat, stelt dat de winsten, als het winstniveau net zo hoog zou zijn geweest als vijf jaar geleden, dit jaar 32,2 miljard lager zouden zijn geweest. Dat zijn nog steeds prima winsten, namelijk op het EU-gemiddelde, net zoals 2019, maar wel 32,2 miljard lager. Is de minister het met mij eens dat de winsten dus zo veel hoger zijn in vergelijking met 2019?",3
8,3,"Ook daar zijn de context en de periode van belang. Die periode was namelijk na corona, dus dat was een herstelperiode. Dat is een wezenlijk andere periode dan nu het geval is. Ook nu hebben we er in deze Kamer gesprekken over dat we meer zouden moeten innoveren, dat er wat meer privaat geld naar innovatie moet gaan en dat we meer zouden moeten investeren in het verduurzamen van industrie, van bedrijven tot aan mkb-bedrijven. Dat is precies wat de bedrijven doen met de winsten. Dat is ook precies waarom aandeelhouders het risico nemen om hun kapitaal ter beschikking te stellen. Dat doen ze zodat deze bedrijven ook die rol op zich kunnen nemen, dus ook in het uitkeren van de hogere lonen en in het investeren in klimaat en innovatie. Het is dus niet of-of. Ik denk dat het een en-ensituatie is.",2
9,2,"Dit is feitelijk gewoon niet waar. En dan is er straks nog een mondelinge vraag in dit huis, namelijk de vraag waarom er maar niet geïnvesteerd wordt en waarom er maar geen maatwerkafspraken komen, zoals dat heet, tussen de overheid en de grote vervuilers om te investeren in verduurzaming. Dat komt omdat die 32,2 miljard euro extra winst in vergelijking met het EU-gemiddelde en in vergelijking met 2019 in de zakken van de aandeelhouders verdwijnt. Die wordt niet gebruikt om te investeren en ook niet om de prijzen te verlagen of de lonen te verhogen. Mijn vraag is dus nogmaals: wat vindt de minister er nou van dat de prijzen historisch hoog zijn? Wat vindt hij ervan dat ze 32 miljard euro hoger zijn dan eigenlijk nodig is?",3
10,3,"Kijk, de prijzen — dat weet de heer Thijssen — zitten in een delicate balans tussen vraag en aanbod. Ook de loonstijging doet daarin mee. Ik denk dat ik in het plaatje dat ik net heb geschetst, toch best duidelijk heb aangegeven dat die loonontwikkeling later op gang komt, maar nu wel echt aan die inhaalslag bezig is. Het inflatiepercentage van november van 4% en de loonontwikkeling in dat kwartaal van 6,6% laten zien dat er wat meer te besteden is. Het gegeven dat er zorgen zijn, onderstreep ik. De zorgen zijn er. Als je de boodschappen aan het afrekenen bent, maar de kosten niet kunt dragen, dan is dat heel pijnlijk. Dat is precies waar het kabinet oog voor heeft. Daarom hebben we ook gekeken naar het koopkrachtplaatje voor volgend jaar: om ervoor te zorgen dat iedereen erop vooruitgaat.",2
11,2,"Maar goed, dit is toch onacceptabel? De winsten zijn veel hoger dan vijf jaar geleden. De planbureaus van deze minister geven in hun voorspelling aan dat de winsten over vijf jaar nog steeds historisch veel hoger zullen zijn dan vijf jaar daarvoor. Ondertussen moeten miljoenen Nederlanders sappelen om hun boodschappen binnen te krijgen. Ondertussen moeten miljoenen Nederlanders keihard werken voor hun loon, maar hebben ze toch financiële problemen. Dan kan de minister toch niet zeggen dat het een kwestie van vraag en aanbod is? Ik wil toch kijken of er iets van hoop is: hoor ik nou goed dat de minister het wenselijk vindt dat de lonen de komende jaren fiks omhooggaan om te compenseren voor die hogere prijzen en om ervoor te zorgen dat er wat minder hoge winsten gemaakt worden in het bedrijfsleven?",3
12,3,"Ik denk dat het ook belangrijk is om de context te schetsen als we het hebben over de investeerders die het kapitaal ter beschikking stellen. Nederland is wat dat betreft natuurlijk een prachtige economie. Maar in principe staat de wereld aan de investeerders ter beschikking. Je zult dus ook in Nederland een aantrekkelijk klimaat moeten hebben voor de investeerders en voor de aandeelhouders, zodat ze hier hun kapitaal ter beschikking stellen. Dan kunnen wij daar de vruchten van plukken wat betreft innovatie, mooie producten en diensten en alle werkgelegenheid. Want het is natuurlijk heel makkelijk om je geld aan de andere kant van de oceaan te gaan beleggen. We hebben het heel hard nodig; daarom moeten we ook heel zuinig zijn op dat klimaat. Dan kunnen we daar al deze mooie dingen mee doen. De lonen ontwikkelen zich in rap tempo en overstijgen procentueel gezien het inflatiecijfer. Zoals het lid Thijssen weet, is dit niet iets waar het kabinet actief op stuurt. De zorgen over de inflatie en de duurder wordende boodschappen onderstrepen wij zeker. In november zien we al het positieve effect, namelijk dat de loonstijging hoger is dan de inflatie. Volgend jaar hebben we als kabinet een prachtig koopkrachtpakket waarmee iedereen erop vooruitgaat.",2
13,2,"Maar als we er nou voor zorgen dat die investeerders hier gewoon een redelijk rendement kunnen behalen, net zoals in de rest van de EU, dan houden we 32 miljard over; die zou ten goede kunnen komen aan de lonen. Weet de minister wat dat dan zou schelen voor de gemiddelde werkende Nederlander? Weet hij hoeveel die er dan per maand bij zou kunnen krijgen?",3
14,3,"Ik vrees toch dat het een theoretische discussie is, want als Nederland beperkingen zou opleggen, als we dat al zouden kunnen, dan is voor degenen die het kapitaal ter beschikking stellen de keuze heel makkelijk gemaakt om dit elders te gaan doen. Ik denk dat we echt een veel slechtere situatie zouden hebben als dat imago de wereld over zou gaan. Daar zijn het bedrijfsleven en onze producten en diensten niet bij gebaat, net als de medewerkers die afhankelijk zijn van die bedrijven.",2
15,2,"Het blijkt wel dat deze minister er is voor de aandeelhouders, zodat die goudomrande winsten kunnen maken. Ik moet concluderen dat de winsten onredelijk en historisch hoog zijn. Het scheelt 32 miljard euro per jaar. Ik zal de minister het volgende vertellen. Als dat naar de lonen zou gaan, zou dat ervoor zorgen dat werkende Nederlanders er honderden euro's per maand bijkrijgen. Dan kunnen ze wél die boodschappen betalen en wél zonder financiële zorgen leven. Het is mij duidelijk dat deze minister en dit kabinet daar niets aan gaan doen. Daarom zal GroenLinks-PvdA elke dag met voorstellen komen om deze balans redelijk te maken. Voorzitter, dank u wel.","3, 1"
